# blastp
# Iteration: 0
# Query: query
# RID: 1G0GM512016
# Database: pdb
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 100 hits found
query	3OMV_A	78.846	260	55	0	1	260	36	295	7.11e-161	449	90.00
query	6N0P_A	76.834	259	60	0	2	260	8	266	4.26e-158	441	91.12
query	2FB8_A	76.834	259	60	0	2	260	14	272	5.44e-158	441	91.12
query	4H58_A	76.834	259	60	0	2	260	9	267	7.17e-158	440	91.12
query	3Q96_A	76.834	259	60	0	2	260	11	269	7.66e-158	440	91.12
query	4DBN_A	76.834	259	60	0	2	260	14	272	8.79e-158	440	91.12
query	6PP9_A	76.834	259	60	0	2	260	16	274	1.19e-157	440	91.12
query	5FD2_A	76.834	259	60	0	2	260	30	288	1.23e-157	441	91.12
query	3II5_A	76.834	259	60	0	2	260	36	294	1.30e-157	441	91.12
query	4MNE_B	76.834	259	60	0	2	260	37	295	1.41e-157	441	91.12
query	4MBJ_A	76.834	259	60	0	2	260	37	295	1.51e-157	441	91.12
query	3D4Q_A	76.834	259	60	0	2	260	37	295	1.94e-157	440	91.12
query	1UWH_A	76.834	259	60	0	2	260	9	267	2.51e-157	439	90.73
query	1UWJ_A	76.448	259	61	0	2	260	9	267	6.81e-157	437	90.73
query	4YHT_A	76.448	259	61	0	2	260	8	266	9.55e-157	437	89.96
query	3IDP_A	76.448	259	61	0	2	260	29	287	9.93e-157	438	90.73
query	4EHG_A	76.448	259	61	0	2	260	37	295	1.19e-156	438	90.73
query	4MNF_A	76.448	259	61	0	2	260	49	307	1.53e-156	439	90.73
query	5HIE_A	76.062	259	57	1	2	260	37	290	2.55e-153	430	89.96
query	6UAN_B	76.834	259	60	0	2	260	458	716	1.66e-150	439	91.12
query	6Q0J_A	76.834	259	60	0	2	260	483	741	2.26e-150	440	91.12
query	6NYB_A	76.834	259	60	0	2	260	483	741	2.47e-150	440	91.12
query	6Q0K_A	76.834	259	60	0	2	260	483	741	2.49e-150	440	91.12
query	4JVG_A	74.131	259	67	0	2	260	17	275	3.14e-150	421	88.42
query	3C4C_A	74.131	259	67	0	2	260	13	271	3.20e-150	421	88.42
query	4XV9_A	74.131	259	67	0	2	260	25	283	3.50e-150	421	88.42
